CC catalog number,Author / Creator,Contributor - reconciled,Union List of Artist Names ID,Library of Congress authority ID,Contributor Wikidata QID,Contributor family name,Contributor given name,Contributor dates,Contributor death year,Contributor birth year,Contributor nationality,Contributor role
40,"Du Mesnil, Elie, b. 1726 or 28 [engraver]",Elie Mesnil,500457027,nr00004626,Q53504581,Du Mesnil,Elie,b. 1726 or 28,,,,engraver
68,"Bowles, Thomas, ca. 1712 - after 1753, British [engraver (printmaker)]",Thomas Bowles,,,Q18813375,Bowles,Thomas,ca. 1712 - after 1753,,,British,engraver (printmaker)
68,"Sayer, Robert, 1725-1794 [distributor]",Robert Sayer,500015707,n80066964,Q15430328,Sayer,Robert,1725-1794,1794,1725,,distributor
13,"Swanenburg, Willem, 1581-1612, Dutch [engraver]",Willem Isaacsz Swanenburg,500005645,n86863206,Q1961244,Swanenburg,Willem,1581-1612,1612,1581,Dutch,engraver
13,,,500052279,,,,,,,,,
13,"Bloemaert, Abraham, 1566-1651, Dutch [artist]",Abraham Bloemaert,500007342,nr93052276,Q329811,Bloemaert,Abraham,1566-1651,1651,1566,Dutch,artist
13,"Heinsius, Daniel, 1580-1655, Dutch [poet]",Daniel Heinsius,,n50029985,Q918731,Heinsius,Daniel,1580-1655,1655,1580,Dutch,poet
51,"Brichet, Francois-R. F., printmaker, 18th cen., French [etcher]",Robert Brichet,500045182,,Q55467951,Brichet,Francois-R. F.,18th cen.,,,French,etcher
51,"Goez, Joseph Franz von, 1754-1815, German [artist]",Joseph Franz von Goez,500000602,n83025766,Q6283227,Goez,Joseph Franz von,1754-1815,1815,1754,German,artist
64,"Schenck, Pieter, 1660-ca.1718, Dutch [engraver]",Peter Schenk the Elder,500008827,n96109832,Q78163,Schenck,Pieter,1660-ca.1718,,1660,Dutch,engraver
64,"Schenck, Leonard [artist]",Leonard Schenk,500040982,no2020135390,Q29545626,Schenck,Leonard,,,,,artist
41,"Gillray, James, 1757-1815, English [etcher]",James Gillray,500017355,n50033402,Q520806,Gillray,James,1757-1815,1815,1757,English,etcher
43,"Gillray, James, 1757-1815, English [etcher]",James Gillray,500017355,n50033402,Q520806,Gillray,James,1757-1815,1815,1757,English,etcher
